iter	Passed	Remaining
143	241	1435
144	243	1436
145	245	1434
146	247	1435
147	249	1434
148	250	1433
149	252	1431
150	254	1428
151	255	1425
152	257	1423
153	258	1422
154	260	1422
155	262	1419
156	263	1416
157	265	1414
158	266	1412
159	268	1412
160	269	1406
161	271	1404
162	273	1405
163	275	1404
164	277	1404
165	279	1403
166	281	1403
167	282	1401
168	284	1399
169	286	1397
170	288	1397
171	290	1396
172	291	1395
173	293	1395
174	295	1394
175	297	1392
176	299	1391
177	300	1389
178	303	1390
179	304	1388
180	306	1387
181	308	1385
182	309	1383
183	311	1380
184	312	1377
185	314	1376
186	316	1375
187	318	1377
188	320	1375
189	322	1375
190	324	1373
191	325	1371
192	328	1374
193	330	1373
194	333	1376
195	334	1372
196	335	1368
197	337	1366
198	339	1365
199	340	1363
200	342	1361
201	343	1358
202	345	1358
203	347	1355
204	348	1353
205	350	1352
206	352	1348
207	353	1346
208	355	1343
209	356	1342
210	358	1341
211	360	1340
212	362	1339
213	365	1341
214	367	1340
215	369	1342
216	371	1341
217	373	1339
218	375	1337
219	376	1336
220	378	1333
221	379	1331
222	381	1330
223	383	1329
224	385	1326
225	386	1324
226	388	1322
227	390	1320
228	391	1317
229	392	1315
230	394	1312
231	396	1311
232	398	1310
233	399	1308
234	401	1306
235	403	1305
236	404	1303
237	406	1302
238	409	1304
239	411	1301
240	413	1302
241	415	1300
242	417	1299
243	418	1296
244	420	1294
245	421	1292
246	424	1293
247	426	1292
248	427	1290
249	429	1289
250	431	1287
251	433	1285
252	434	1283
253	436	1281
254	438	1280
255	439	1278
256	441	1276
257	442	1273
258	444	1270
259	446	1270
260	448	1268
261	449	1266
262	451	1264
263	452	1262
264	455	1262
265	457	1261
266	458	1259
267	460	1257
268	461	1254
269	463	1253
270	464	1250
271	466	1248
272	468	1246
273	469	1244
274	471	1242
275	473	1240
276	474	1239
277	476	1237
278	478	1235
279	480	1234
280	481	1232
281	483	1231
282	485	1229
283	486	1227
284	488	1225
285	490	1223
286	491	1222
287	494	1221
288	495	1219
289	497	1217
290	499	1216
291	501	1216
292	503	1215
293	505	1213
294	506	1211
295	509	1210
296	511	1210
297	512	1207
298	514	1206
299	516	1205
300	518	1203
301	520	1202
302	521	1200
303	523	1198
304	525	1196
305	526	1195
306	528	1193
307	530	1191
308	532	1190
309	534	1188
310	535	1186
311	536	1184
312	538	1181
313	540	1180
314	541	1177
315	543	1175
316	545	1174
317	547	1174
318	549	1172
319	550	1170
320	552	1168
321	554	1167
322	556	1166
323	558	1164
324	560	1163
325	562	1162
326	564	1161
327	566	1160
328	567	1158
329	569	1156
330	571	1154
331	572	1152
332	574	1151
333	576	1149
334	578	1147
335	579	1145
336	581	1144
337	583	1141
338	584	1139
339	586	1138
340	588	1137
341	590	1136
342	592	1134
343	594	1133
344	596	1132
345	597	1130
346	599	1128
347	601	1126
348	602	1124
349	604	1123
350	606	1121
351	608	1119
352	610	1118
353	611	1116
354	613	1114
355	615	1113
356	616	1111
357	618	1109
358	620	1108
359	622	1107
360	624	1105
361	626	1103
362	627	1101
363	629	1100
364	631	1097
365	632	1095
366	634	1094
367	636	1092
368	637	1090
369	639	1088
370	641	1087
371	643	1085
372	644	1083
373	646	1081
374	648	1080
375	650	1078
376	652	1077
377	654	1076
378	655	1074
379	657	1072
380	658	1070
381	660	1067
382	661	1065
383	663	1063
384	665	1062
385	667	1061
386	668	1059
387	670	1057
388	672	1056
389	674	1054
390	675	1052
391	677	1051
392	679	1049
393	681	1048
394	683	1046
395	684	1044
396	686	1042
397	688	1040
398	689	1038
399	691	1037
400	693	1035
401	696	1035
402	698	1034
403	700	1032
404	701	1031
405	703	1029
406	705	1027
407	706	1024
408	707	1022
409	709	1021
410	711	1019
411	713	1018
412	715	1016
413	717	1014
414	718	1013
415	720	1011
416	721	1009
417	723	1007
418	726	1006
419	727	1005
420	730	1004
421	732	1003
422	734	1001
423	735	999
424	737	997
425	739	996
426	741	994
427	743	993
428	745	991
429	746	990
430	748	988
431	750	987
432	752	985
433	753	982
434	755	981
435	756	979
436	758	977
437	760	976
438	762	974
439	764	972
440	766	971
441	767	969
442	769	967
443	771	966
444	773	964
445	775	963
446	777	961
447	779	960
448	780	958
449	782	956
450	785	955
451	787	954
452	789	953
453	791	951
454	793	950
455	795	948
456	796	946
457	798	944
458	800	942
459	801	941
